Season,Team,QB_QBR,QB_WinPct,QB_Wins,RB_RBR,QB_Salary,RB_Salary,W,W_PCT,Playoffs
2015,49ers,40.42965779467681,0.3125,2.5,0.23643148378848003,17234471.0,4458248.0,5.0,0.313,0.0
2015,Bears,56.33460803059273,0.375,5.625,0.11581020445483672,16725388.0,11448751.0,6.0,0.375,0.0
2015,Bengals,68.32910891089108,0.75,8.5,0.37098631915688474,10238778.0,4040770.0,12.0,0.75,1.0
2015,Bills,60.7603448275862,0.47115384615384615,6.125,0.3424354689379734,3732738.0,7707163.0,8.0,0.5,0.0
2015,Broncos,49.055610561056106,0.75,6.125,0.01074956521207291,19067139.0,2115642.0,12.0,0.75,1.0
2015,Browns,52.008210180623976,0.1875,1.25,0.3282095558905653,8093954.0,1964338.0,3.0,0.188,0.0
2015,Buccaneers,57.2,0.375,6.0,0.18286652516631072,5965886.0,5081515.0,6.0,0.375,0.0
2015,Cardinals,73.46405693950179,0.8125,13.0,0.22324596129657645,11834168.0,2946734.0,13.0,0.813,1.0
2015,Chargers,57.68410794602698,0.25,4.0,0.3935079204422404,23002368.0,7201545.0,4.0,0.25,0.0
2015,Chiefs,61.23262711864407,0.6875,11.0,0.28485209358108093,21476940.0,9656539.0,11.0,0.688,1.0
2015,Colts,47.30726978998385,0.5,3.4375,0.2656402331349722,10966900.0,5547765.0,8.0,0.5,0.0
2015,Commanders,67.29765342960289,0.5625,9.0,0.18212583641708652,8997885.0,3242342.0,9.0,0.563,1.0
2015,Cowboys,16.133776091081593,0.25,1.1875,0.3348527893456426,16983000.0,3636824.0,4.0,0.25,0.0
2015,Dolphins,45.69063032367973,0.375,6.0,0.07098822760257965,7625864.0,2623010.0,6.0,0.375,0.0
2015,Eagles,37.57865168539326,0.4375,6.125,0.48512544542967817,17392354.0,12012071.0,7.0,0.438,0.0
2015,Falcons,63.39661835748792,0.5,8.0,0.35929712176754636,20208674.0,2086750.0,8.0,0.5,0.0
2015,Giants,58.23547351524879,0.375,6.0,0.271549483640976,15240800.0,6883801.0,6.0,0.375,0.0
2015,Jaguars,51.4,0.3125,5.0,0.12682446170100134,8194273.0,5564721.0,5.0,0.313,0.0
2015,Jets,61.6453642384106,0.625,10.0,0.3268951796823863,5192407.0,6431875.0,10.0,0.625,0.0
2015,Lions,58.50886075949367,0.4375,7.0,0.23423552379807158,18498450.0,5554369.0,7.0,0.438,0.0
2015,Packers,59.89546247818499,0.625,10.0,0.011696398138600059,20090908.0,2917044.0,10.0,0.625,1.0
2015,Panthers,60.73532934131737,0.9375,15.0,0.4343465013834527,15429000.0,9847396.0,15.0,0.938,1.0
2015,Patriots,68.015923566879,0.75,12.0,0.19763346209545815,14791795.0,4340249.0,12.0,0.75,1.0
2015,Raiders,42.941322314049586,0.4375,7.0,0.3305718135431769,1918064.0,3907750.0,7.0,0.438,0.0
