Season,Player,QBR
2015,Kellen Clemens,100.0
2015,Ryan Nassib,99.7
2015,Matt Moore,98.8
2015,Ryan Lindley,93.4
2015,Luke McCown,92.4
2016,Chase Daniel,99.5
2016,Tony Romo,99.0
2016,Mike Glennon,96.3
2016,Jimmy Garoppolo,87.5
2016,Matt Ryan,79.6
2017,Deshaun Watson,83.7
2017,Jimmy Garoppolo,83.0
2017,Carson Wentz,78.6
2017,Ryan Mallett,77.0
2017,Sam Bradford,75.1
2018,Jacoby Brissett,100.0
2018,Kyle Allen,95.2
2018,Matt Barkley,85.8
2018,Patrick Mahomes,80.3
2018,Drew Brees,79.2
2019,Tim Boyle,96.7
2019,Lamar Jackson,83.0
2019,Brett Hundley,80.6
2019,Matt Schaub,80.2
2019,Patrick Mahomes,77.7
2020,Marcus Mariota,97.4
2020,Aaron Rodgers,79.8
2020,Patrick Mahomes,78.1
2020,Josh Allen,76.6
2020,Dak Prescott,73.1
2022,Jordan Love,83.2
2022,Patrick Mahomes,79.0
2022,Davis Webb,76.9
2022,Chris Streveler,73.9
2022,Josh Allen,73.4
2023,Sean Clifford,100.0
2023,Jacoby Brissett,95.7
2023,Carson Wentz,90.2
2023,Brock Purdy,73.4
2023,Dak Prescott,73.4
2024,Kyle Allen,99.3
2024,Nick Mullens,97.5
2024,Tyrod Taylor,95.0
2024,Kyle Trask,88.0
2024,Marcus Mariota,86.3
2025,Malik Willis,93.1
2025,Mitchell Trubisky,91.5
2025,Nick Mullens,85.9
2025,Tyler Huntley,80.7
2025,Drake Maye,77.2
