 
,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,,,-additional
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
1,Derrick Henry,28,TEN,RB,16,16,349,1538,13,65,46.7,56,4.4,96.1,21.8,6,PBAP MVP-9AP OPoY-12AP CPoY-9,HenrDe00
2,Josh Jacobs,24,LVR,RB,17,17,340,1653,12,93,57.4,86,4.9,97.2,20.0,3,PBAP-1AP OPoY-5,JacoJo01
3,Nick Chubb,27,CLE,RB,17,17,302,1525,12,69,50.0,41,5.0,89.7,17.8,1,PBAP-2,ChubNi00
4,Saquon Barkley,25,NYG,RB,16,16,295,1312,10,62,47.5,68,4.4,82.0,18.4,1,PBAP CPoY-3,BarkSa00
5,Najee Harris,24,PIT,RB,17,17,272,1034,7,45,46.0,36,3.8,60.8,16.0,3,,HarrNa00
6,Dalvin Cook,27,MIN,RB,17,17,264,1173,8,50,47.3,81,4.4,69.0,15.5,4,PB,CookDa01
7,Jamaal Williams,27,DET,RB,17,9,262,1066,17,65,53.1,58,4.1,62.7,15.4,3,,WillJa06
8,Miles Sanders,25,PHI,RB,17,15,259,1269,11,62,56.8,40,4.9,74.6,15.2,2,PB,SandMi01
9,Christian McCaffrey,26,2TM,RB,17,16,244,1139,8,59,48.4,49,4.7,67.0,14.4,1,PBAP OPoY-7AP CPoY-2,McCaCh01
9,Christian McCaffrey,26,CAR,RB,6,6,85,393,2,20,49.4,49,4.6,65.5,14.2,0,,McCaCh01
9,Christian McCaffrey,26,SFO,RB,11,10,159,746,6,39,47.8,38,4.7,67.8,14.5,1,,McCaCh01
10,Ezekiel Elliott,27,DAL,RB,15,14,231,876,12,52,47.6,27,3.8,58.4,15.4,0,,ElliEz00
11,Kenneth Walker III,22,SEA,RB,15,11,228,1050,9,51,39.9,74,4.6,70.0,15.2,0,AP ORoY-2,WalkKe00
12,Alvin Kamara,27,NOR,RB,15,13,223,897,2,40,52.0,27,4.0,59.8,14.9,4,,KamaAl00
13,Travis Etienne,23,JAX,RB,17,12,220,1125,5,52,50.9,62,5.1,66.2,12.9,5,,EtieTr00
14,Dameon Pierce,22,HOU,RB,13,13,220,939,4,54,47.7,75,4.3,72.2,16.9,4,AP ORoY-9,PierDa01
15,Aaron Jones,28,GNB,RB,17,17,213,1121,2,54,54.9,36,5.3,65.9,12.5,5,,JoneAa00
16,Tyler Allgeier,22,ATL,RB,16,7,210,1035,3,53,51.9,44,4.9,64.7,13.1,0,AP ORoY-5,AllgTy00
17,Joe Mixon,26,CIN,RB,14,14,210,814,7,47,52.4,40,3.9,58.1,15.0,0,,MixoJo00
18,Rhamondre Stevenson,24,NWE,RB,17,7,210,1040,5,49,45.7,49,5.0,61.2,12.4,4,,StevRh00
19,Brian Robinson Jr.,23,WAS,RB,12,9,205,797,2,49,52.7,24,3.9,66.4,17.1,2,,RobiBr01
20,Austin Ekeler,27,LAC,RB,17,17,204,915,13,46,48.0,72,4.5,53.8,12.0,5,AP OPoY-9,EkelAu00
21,D'Onta Foreman,26,CAR,RB,17,9,203,914,5,45,48.8,60,4.5,53.8,11.9,1,,ForeDO00
22,David Montgomery,25,CHI,RB,16,16,201,801,5,41,44.8,28,4.0,50.1,12.6,2,,MontDa01
23,Tony Pollard,25,DAL,RB,16,4,193,1007,9,46,47.7,57,5.2,62.9,12.1,0,PB,PollTo00
24,Jonathan Taylor,23,IND,RB,11,11,192,861,4,39,48.4,66,4.5,78.3,17.5,3,,TaylJo02
25,Leonard Fournette,27,TAM,RB,16,9,189,668,3,39,49.2,23,3.5,41.8,11.8,0,,FourLe00
26,Cam Akers,23,LAR,RB,15,9,188,786,7,39,52.7,42,4.2,52.4,12.5,2,,AkerCa00
27,AJ Dillon,24,GNB,RB,17,3,186,770,7,47,56.5,27,4.1,45.3,10.9,1,,DillAJ00
28,James Conner,27,ARI,RB,13,13,183,782,7,48,55.2,23,4.3,60.2,14.1,3,,ConnJa00
29,Raheem Mostert,30,MIA,RB,16,14,181,891,3,44,55.2,67,4.9,55.7,11.3,1,,MostRa00
30,Devin Singletary,25,BUF,RB,16,16,177,819,5,43,52.5,33,4.6,51.2,11.1,3,,SingDe00
31,Jeff Wilson,27,2TM,RB,16,7,176,860,5,43,50.0,41,4.9,53.8,11.0,3,,WilsJe01
31,Jeff Wilson,27,SFO,RB,8,6,92,468,2,22,52.2,41,5.1,58.5,11.5,2,,WilsJe01
31,Jeff Wilson,27,MIA,RB,8,1,84,392,3,21,47.6,28,4.7,49.0,10.5,1,,WilsJe01
32,Latavius Murray,32,2TM,RB,13,7,171,760,6,44,53.8,52,4.4,58.5,13.2,1,,MurrLa00
32,Latavius Murray,32,NOR,RB,1,0,11,57,1,4,81.8,10,5.2,57.0,11.0,0,,MurrLa00
32,Latavius Murray,32,DEN,RB,12,7,160,703,5,40,51.9,52,4.4,58.6,13.3,1,,MurrLa00
33,Isiah Pacheco,23,KAN,RB,17,11,170,830,5,37,57.1,31,4.9,48.8,10.0,4,AP ORoY-10,PachIs00
34,Jalen Hurts,24,PHI,QB,15,15,165,760,13,67,59.4,42,4.6,50.7,11.0,9,PBAP-2AP MVP-2AP OPoY-3,HurtJa00
35,Justin Fields,23,CHI,QB,15,15,160,1143,8,65,56.3,67,7.1,76.2,10.7,16,AP MVP-9,FielJu00
36,Antonio Gibson,24,WAS,RB,15,6,149,546,3,32,49.7,20,3.7,36.4,9.9,1,,GibsAn00
37,Cordarrelle Patterson,31,ATL,RB,13,11,144,695,8,39,60.4,40,4.8,53.5,11.1,1,,PattCo00
38,Khalil Herbert,24,CHI,RB,13,1,129,731,4,26,47.3,63,5.7,56.2,9.9,0,,HerbKh00
39,Rachaad White,23,TAM,RB,17,8,129,481,1,27,49.6,35,3.7,28.3,7.6,3,,WhitRa01
40,Josh Allen,26,BUF,QB,16,16,124,762,7,55,61.3,44,6.1,47.6,7.8,13,PBAP MVP-3AP OPoY-8,AlleJo02
